OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jul 20 2017 07:44:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LED2x3 si-0651.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""08:33:58 305""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:34:01 Launched AutoProg /User/Configs/AutoProgs/AutoLog""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,08:34:07,3017.5,0,16.10523401,0.155130179,245.4661994,1.498179241,0.979872131,26.31613922,6,1.420000017,1,2.840000033,25.32392883,26.31613922,24.993433,449.858551,424.7637634,22.59984398,24.78986549,69.12859344,75.82745361,400.2808838,1348.342163,19.87148476,99.15449524,-2.63750124,-0.647316396,0,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667134806,0.001498179,299.4661392,298.4739288,215.7347413,1.634790926,3.437898731,34.67214192,9.882276428,25.82003403,3.338492026,0.147095346,2.4580266,0.880465426,0.092624216,24.3390771,0.577888748,72.14604888,417.1081065,0.027856783
2,08:34:12,3022,0,22.79788007,0.21569063,230.1138479,1.894712368,0.909106075,26.24940681,6,1.420000017,1,2.840000033,25.33481216,26.24940681,24.99201393,450.4118652,415.055603,22.59849167,25.36688614,69.08060455,77.54322052,400.228241,1609.390259,19.72032356,99.15574646,-2.63750124,-0.647316396,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667047068,0.001894712,299.3994068,298.4848122,257.5024357,1.932709782,3.424378606,34.53535199,9.16846585,25.79210949,3.332972091,0.200465775,2.51527253,0.81769956,0.126575447,22.81711036,0.554416917,74.56404056,404.2185827,0.04205403
3,08:34:16,3026,0,25.96254378,0.25099562,227.5402613,2.157194115,0.899415546,26.39008522,6,1.420000017,1,2.840000033,25.33981895,26.39008522,24.99175835,450.5276489,410.2829285,22.60243416,25.75280571,69.07156372,78.69889069,400.2652283,1780.287964,19.68424225,99.15499115,-2.63750124,-0.647316396,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667108714,0.002157194,299.5400852,298.489819,284.8460679,2.100216376,3.452934769,34.82361027,9.070804565,25.86495209,3.34738788,0.230614226,2.553519222,0.793868657,0.14583621,22.5617526,0.554593539,75.31976503,397.9415786,0.049140196
4,08:34:20,3030,0,28.23328119,0.281740568,228.2124281,2.366563176,0.887564283,26.48005676,6,1.420000017,1,2.840000033,25.34293747,26.48005676,24.99138832,450.5628357,406.7979736,22.60227013,26.05731583,69.05904388,79.61560059,400.2662354,1784.11438,15.92788696,99.15612793,-2.63750124,-0.647316396,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667110392,0.002366563,299.6300568,298.4929375,285.4582944,1.986127718,3.471306824,35.00849516,8.95117933,25.91149712,3.356627785,0.256313167,2.583742542,0.772885244,0.162301362,22.62866072,0.560996964,76.00640773,393.3772239,0.054550954
5,08:34:24,3034,0,29.68593509,0.308881857,231.8139968,2.526334311,0.871601958,26.5148468,6,1.420000017,1,2.840000033,25.34293365,26.5148468,24.9908905,450.492218,404.4576416,22.60261726,26.29032707,69.05971527,80.32709503,400.2347717,1796.278442,17.4229641,99.1555481,-2.63750124,-0.647316396,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667057953,0.002526334,299.6648468,298.4929337,287.4045444,1.920972611,3.478433749,35.08057608,8.790249006,25.92889023,3.360086299,0.278582848,2.60683179,0.753254509,0.176604546,22.98564391,0.573147774,76.68519948,390.3463698,0.058319278
6,08:34:28,3038.5,0,30.85748435,0.335187223,235.9557486,2.667420613,0.855037285,26.53359985,6,1.420000017,1,2.840000033,25.34220505,26.53359985,24.98963356,450.4820557,402.6141663,22.60326195,26.49600029,69.06515503,80.95956421,400.2444153,1796.518188,19.39105797,99.15622711,-2.63750124,-0.647316396,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667074025,0.002667421,299.6835999,298.492205,287.4429037,1.845149749,3.482280708,35.1191328,8.623132508,25.93790245,3.361879548,0.299803334,2.627243422,0.734636126,0.190264327,23.3964818,0.586059231,77.3399813,387.9459961,0.061516739
7,08:34:32,3042.5,0,31.5769892,0.352918803,238.7112244,2.75956792,0.844753603,26.54901123,6,1.420000017,1,2.840000033,25.3415966,26.54901123,24.98992729,450.5306396,401.53302,22.60486603,26.63151932,69.07282257,81.37690735,400.2445068,1800.579224,19.30787277,99.15661621,-2.63750124,-0.647316396,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667074178,0.002759568,299.6990112,298.4915966,288.0926693,1.802555441,3.485444943,35.15090648,8.519387164,25.94530392,3.363352915,0.313910082,2.64069134,0.722661575,0.199361442,23.66979726,0.594499612,77.7551357,386.5228317,0.063522071
