OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jul 21 2017 08:33:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LED2x3 si-0651.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""08:44:55 337""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:44:58 Launched AutoProg /User/Configs/AutoProgs/AutoLog""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,08:45:03,770,0,15.15828201,0.168519774,267.9071804,2.014720133,1.216035931,26.46984291,6,1.420000017,1,2.840000033,25.31111336,26.46984291,24.99188232,450.1227722,426.1138611,19.83622932,22.78744507,60.55227661,69.56118774,400.2709351,1802.393066,32.39493561,98.87817383,-2.81114769,-0.559304059,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667118225,0.00201472,299.6198429,298.4611134,288.3828842,2.201276013,3.469216885,35.0857702,12.29832514,25.89047813,3.352452438,0.159080277,2.253180955,1.099271484,0.100232247,26.49017275,0.62872205,65.92523701,418.9083398,0.023855179
2,08:45:07,774,0,19.27482326,0.211134067,257.6309394,2.421363523,1.182505442,26.59356308,6,1.420000017,1,2.840000033,25.32579613,26.59356308,24.99323654,450.0222168,419.60495,19.83836365,23.38326645,60.50609207,71.31787872,400.2497559,1800.376587,32.22480392,98.87844086,-2.81114769,-0.559304059,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667082926,0.002421364,299.7435631,298.4757961,288.0602475,1.970123536,3.494606371,35.34245019,11.95918374,25.9596796,3.36621621,0.196523895,2.312100929,1.054115282,0.12406151,25.4741456,0.613984509,67.55072279,410.4426221,0.03172254
3,08:45:11,778,0,21.81418852,0.240668653,253.7835516,2.679936997,1.158967939,26.66001129,6,1.420000017,1,2.840000033,25.33081818,26.66001129,24.99336243,450.0987244,415.7274475,19.83810997,23.76008415,60.48677063,72.44494629,400.2466125,1799.215698,29.45767593,98.87766266,-2.81114769,-0.559304059,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667077688,0.002679937,299.8100113,298.4808182,287.8745053,1.824523352,3.508309525,35.4813153,11.72123115,25.99541473,3.373343026,0.221867085,2.349341586,1.02400144,0.140241854,25.0935244,0.61045657,68.61621306,405.358027,0.036925555
4,08:45:15,782,0,23.24087998,0.261640278,253.8152599,2.854654539,1.143094695,26.70575905,6,1.420000017,1,2.840000033,25.33539581,26.70575905,24.99115181,450.0450745,413.4342041,19.83957481,24.01634979,60.4746666,73.20624542,400.2268982,1799.414307,27.10420036,98.87748718,-2.81114769,-0.559304059,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.66704483,0.002854655,299.855759,298.4853958,287.9062826,1.728054036,3.517771013,35.57706727,11.56071748,26.02057743,3.378369237,0.239569493,2.374676319,1.003692918,0.151568872,25.09661511,0.613919355,69.33246906,402.3866028,0.040044762
5,08:45:20,786.5,0,24.19653442,0.279069704,255.3144428,2.990649456,1.128922815,26.73172569,6,1.420000017,1,2.840000033,25.33688164,26.73172569,24.98844147,450.0341492,411.9151306,19.83939934,24.21403885,60.46891785,73.80247498,400.2478943,1800.626709,32.27078247,98.87770081,-2.81114769,-0.559304059,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667079824,0.002990649,299.8817257,298.4868816,288.100267,1.656036922,3.523151304,35.631404,11.41736515,26.03430367,3.381113788,0.254100753,2.394228489,0.9868853,0.160882175,25.24490508,0.619822929,69.92401337,400.413257,0.042254315
6,08:45:24,790.5,0,24.76754982,0.28887767,255.7917407,3.068886045,1.122532151,26.75724792,6,1.420000017,1,2.840000033,25.33630371,26.75724792,24.98987007,450.098938,411.0801392,19.8440094,24.33246803,60.48443985,74.16523743,400.2548828,1801.284668,32.40637589,98.87670898,-2.81114769,-0.559304059,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667091471,0.003068886,299.9072479,298.4863037,288.2055404,1.612861856,3.528446512,35.68531506,11.35284703,26.04677582,3.383609275,0.262206667,2.405914361,0.977694914,0.16608341,25.29184551,0.622243004,70.23010835,399.3068322,0.043561181
7,08:45:28,794.5,0,25.10631618,0.295686378,256.4092296,3.120038821,1.117337796,26.76827049,6,1.420000017,1,2.840000033,25.33452415,26.76827049,24.98941422,450.0630798,410.5057678,19.84491539,24.40804863,60.49386215,74.40380096,400.236145,1801.210449,32.28473282,98.8771286,-2.81114769,-0.559304059,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667060242,0.003120039,299.9182705,298.4845242,288.1936654,1.584281178,3.530735559,35.70831404,11.30026541,26.05139732,3.384534376,0.267803987,2.413397763,0.971136613,0.169677508,25.35300837,0.624617849,70.44987411,398.5714275,0.044376909
8,08:45:32,798.5,0,25.37464968,0.300405679,256.6015905,3.157678508,1.114687788,26.78266907,6,1.420000017,1,2.840000033,25.33393478,26.78266907,24.98931694,450.0861206,410.105072,19.84695053,24.46488762,60.50273514,74.58035278,400.2340698,1800.312012,32.25608063,98.87802887,-2.81114769,-0.559304059,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667056783,0.003157679,299.9326691,298.4839348,288.0499154,1.560875555,3.533727652,35.73824936,11.27336174,26.05830193,3.385916903,0.271669401,2.419039864,0.966877038,0.172160736,25.37225948,0.625697188,70.58786859,398.0431788,0.044998697
