OPEN 6.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jul 18 2017 08:12:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/2x3 LED si-4301.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""08:13:50 Flow: Fixed -> 400 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:17:31 120b""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:17:35 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,08:17:41,359.0000723,0,26.64294704,0.336234203,261.3579975,4.040312428,1.293699231,26.62882996,6,1.420000017,1,2.840000033,25.56518364,26.62882996,25.25904083,450.5284424,408.0809631,16.35106087,22.27789688,49.28549576,67.15021515,399.9067383,1744.712036,40.83803558,99.11950684,2.629081011,0.165185571,0.018748604,0.001488051,0.021834392,0.00131843,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.66651123,0.004040312,299.77883,298.7151836,279.1539195,1.006006213,3.501873383,35.3298104,13.05191352,26.0970068,3.393676018,0.300640657,2.208174152,1.185501866,0.190803929,25.90567582,0.640456236,65.98803272,395.4161821,0.04446241
2,08:17:45,363.0000722,0,27.19798101,0.344569924,260.2473785,4.091372507,1.281684024,26.60381889,6,1.420000017,1,2.840000033,25.55459976,26.60381889,25.18460274,449.9581604,406.653595,16.34580994,22.34737587,49.30004883,67.40116882,399.88974,1768.009155,40.86125946,99.11831665,2.629081011,0.165185571,0.018748604,0.001488051,0.021834392,0.00131843,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.6664829,0.004091373,299.7538189,298.7045998,282.8814585,1.02469325,3.496718301,35.27822525,12.93084938,26.07920933,3.390106256,0.307287518,2.215034278,1.175071978,0.19508906,25.79528207,0.639973141,66.34226196,393.7249774,0.045828324
3,08:17:49,367.0000722,0,27.89171011,0.352310893,258.5081945,4.124792216,1.266877472,26.55763817,6,1.420000017,1,2.840000033,25.53612709,26.55763817,25.14547539,449.8692322,405.5116272,16.35053062,22.40063095,49.3690033,67.63674927,399.900238,1796.390747,41.11650848,99.11952209,2.629081011,0.165185571,0.018748604,0.001488051,0.021834392,0.00131843,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.666500397,0.004124792,299.7076382,298.6861271,287.4225131,1.063221204,3.487217306,35.18194229,12.78131134,26.04688263,3.383630653,0.31342904,2.220339834,1.163290819,0.199051012,25.6232087,0.637486516,66.72207852,392.253244,0.047443658
4,08:17:53,371.0000721,0,28.57597771,0.355166542,255.2742265,4.152437001,1.266197098,26.57523918,6,1.420000017,1,2.840000033,25.52146149,26.57523918,25.14777184,450.0235901,404.6249695,16.35314941,22.44393921,49.42007065,67.82675171,399.8732605,1796.972412,41.07032394,99.11979675,2.629081011,0.165185571,0.018748604,0.001488051,0.021834392,0.00131843,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.666455434,0.004152437,299.7252392,298.6714615,287.5155795,1.046196826,3.490835791,35.21835097,12.77441177,26.04835033,3.383924426,0.315687138,2.224638693,1.159285733,0.200508361,25.30272945,0.630890938,66.80275923,391.0413183,0.048817198
5,08:17:58,375.500072,0,28.92168639,0.35826152,254.0397896,4.178719065,1.264385002,26.58440781,6,1.420000017,1,2.840000033,25.5129509,26.58440781,25.16204643,449.8868103,403.9590759,16.35242462,22.48134422,49.44265747,67.97385406,399.8854065,1799.453979,41.11870956,99.11938477,2.629081011,0.165185571,0.018748604,0.001488051,0.021834392,0.00131843,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.666475677,0.004178719,299.7344078,298.6629509,287.9126303,1.035225794,3.49272201,35.23752713,12.75618291,26.04867935,3.383990284,0.318129931,2.228337008,1.155653276,0.202085291,25.18026765,0.628875064,66.8992688,390.2110914,0.049584436
6,08:18:02,379.5000719,0,29.13794304,0.36066559,253.5348157,4.19852553,1.262820832,26.59131241,6,1.420000017,1,2.840000033,25.50760078,26.59131241,25.16833496,449.8983765,403.6394348,16.35427094,22.51161575,49.4636116,68.08654022,399.9136047,1799.434448,41.15565109,99.11870575,2.629081011,0.165185571,0.018748604,0.001488051,0.021834392,0.00131843,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.666522675,0.004198526,299.7413124,298.6576008,287.9095053,1.023667678,3.49414305,35.25210528,12.74048952,26.0494566,3.384145868,0.320024148,2.231322218,1.15282365,0.203308364,25.1300428,0.628122016,66.97772194,389.7886522,0.05006798
