OPEN 6.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jul 18 2017 08:16:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LED2x3-si2529.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""08:17:09 Flow: Fixed -> 400 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:25:04 112a""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:25:09 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:25:11 Lamp: ParIn ->  1800 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:25:11 CO2 Mixer: CO2R -> 450 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:25:11 Coolers: Tblock -> 25.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:25:11 Flow: Fixed -> 400 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,08:25:15,567.0000734,0,15.39024609,0.400526901,348.5201388,4.177231004,1.14583357,25.7689743,6,1.420000017,1,2.840000033,25.35070229,25.7689743,25.00035095,450.3774414,424.6542664,15.91443729,22.03672791,48.5468483,67.22283936,400.3578491,1746.4823,0.241417527,99.04244232,9.54148674,-0.184220999,0,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667263082,0.004177231,298.9189743,298.5007023,279.4371617,1.070058183,3.328404923,33.60584457,11.56911667,25.55983829,3.287366366,0.351022051,2.182571353,1.104795014,0.22335726,34.51828574,0.82071503,68.96569757,417.3384804,0.025432571
2,08:25:19,571.0000734,0,20.1994801,0.426798421,325.0239812,4.325029556,1.122252476,25.76107025,6,1.420000017,1,2.840000033,25.34803772,25.76107025,25.00810814,450.2633972,417.2849731,15.92136097,22.25912666,48.57555771,67.91187286,400.3390198,1768.260864,0.12254595,99.04222107,9.54148674,-0.184220999,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.6672317,0.00432503,298.9110703,298.4980377,282.921732,1.034885887,3.32684582,33.59017784,11.33105118,25.55455399,3.286335183,0.371038357,2.204593344,1.081741839,0.236337522,32.191097,0.778901715,69.83148229,407.6831077,0.034599413
