OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jul 18 2017 07:23:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LED2x3 si-0651.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""08:20:47 086a""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:20:51 Launched AutoProg /User/Configs/AutoProgs/AutoLog""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,08:20:57,3466.5,0,-22.1732347,0.317926536,591.6988337,3.764411196,1.26890115,26.03437233,6,1.420000017,1,2.840000033,25.32709312,26.03437233,24.99011993,450.0158386,480.5436401,15.78605175,21.30897903,48.26246262,65.14762115,400.2437744,1362.144287,36.32590866,99.12377167,-2.432148933,-0.338868827,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667072957,0.003764411,299.1843723,298.4770931,217.9430811,0.518161987,3.381127523,34.1101581,12.80117906,25.68073273,3.31103511,0.285919052,2.112226372,1.198808738,0.181323547,58.65142009,1.23131134,65.28744776,491.083734,-0.029478352
2,08:21:01,3470.5,0,-1.598223863,0.360905529,448.6801014,4.049057887,1.218486574,25.98993111,6,1.420000017,1,2.840000033,25.32942963,25.98993111,24.9907589,450.0991516,449.7650146,15.78992081,21.72773743,48.26818085,66.41947937,400.2563171,1549.832886,36.20388031,99.125,-2.432148933,-0.338868827,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667093862,0.004049058,299.1399311,298.4794296,247.9732562,0.731351619,3.372248546,34.02016188,12.29242445,25.65968037,3.306902801,0.320213044,2.153761972,1.153140829,0.203430345,44.47541505,0.997587822,67.02201813,450.5247337,-0.002377587
3,08:21:05,3474.5,0,9.960996216,0.383812476,378.0631291,4.261697823,1.214200669,26.12290955,6,1.420000017,1,2.840000033,25.33245277,26.12290955,24.99196243,450.1207275,432.4252625,15.79163361,22.03964424,48.26467133,67.36074829,400.2334595,1779.319824,32.85270309,99.12486267,-2.432148933,-0.338868827,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667055766,0.004261698,299.2729095,298.4824528,284.6911655,1.036880494,3.398877377,34.28884829,12.24920404,25.72768116,3.320266738,0.338117506,2.184676709,1.135590029,0.215003051,37.47545575,0.874285482,67.61747813,427.6902819,0.015748252
4,08:21:09,3478.5,0,16.96981495,0.402401015,338.6048212,4.426937845,1.209661018,26.22025108,6,1.420000017,1,2.840000033,25.33174515,26.22025108,24.99126053,450.0061035,421.7691956,15.79537773,22.28355408,48.2775116,68.10818481,400.2625427,1781.203369,36.37140656,99.12355804,-2.432148933,-0.338868827,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667104238,0.004426938,299.3702511,298.4817451,284.9925327,0.940719283,3.418486184,34.48712144,12.20356736,25.77599812,3.329790931,0.352460686,2.208825166,1.120965765,0.224289299,33.56371465,0.802820179,68.10024038,413.7025583,0.027934284
5,08:21:13,3483,0,21.80202066,0.420099125,313.846078,4.560282901,1.199936936,26.26827431,6,1.420000017,1,2.840000033,25.33145714,26.26827431,24.98909378,450.0420532,414.5254517,15.79705715,22.47957993,48.28355026,68.70861816,400.2473145,1796.53894,36.54842758,99.12371826,-2.432148933,-0.338868827,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667078857,0.004560283,299.4182743,298.4814571,287.446224,0.893522641,3.428196483,34.58502711,12.10544718,25.79986572,3.33450449,0.365964797,2.228259547,1.106244943,0.233044862,31.10959021,0.75712137,68.61284961,404.1618152,0.037012372
6,08:21:17,3487,0,24.4275877,0.431663196,301.2775608,4.638286548,1.19187753,26.28565788,6,1.420000017,1,2.840000033,25.3306694,26.28565788,24.98732185,449.990448,410.5194397,15.80091381,22.59656143,48.29727173,69.06893158,400.2688904,1796.606567,36.4747963,99.12303925,-2.432148933,-0.338868827,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667114817,0.004638287,299.4356579,298.4806694,287.4570444,0.850462306,3.431717376,34.62078445,12.02422302,25.80816364,3.336144593,0.374709561,2.239839846,1.096304747,0.23872115,29.86354749,0.73389353,68.96329207,398.9077344,0.042230489
7,08:21:21,3491,0,26.11410696,0.440113603,293.7006383,4.691739709,1.185473546,26.29271507,6,1.420000017,1,2.840000033,25.3295269,26.29271507,24.98822975,450.0290222,408.0122681,15.80157852,22.67538071,48.30304718,69.31522369,400.2459717,1799.596436,36.40693283,99.12398529,-2.432148933,-0.338868827,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.667076619,0.00469174,299.4427151,298.4795269,287.9354233,0.827113364,3.43314765,34.63488317,11.95950246,25.81112099,3.336729289,0.381060776,2.247674104,1.089055185,0.24284698,29.11277775,0.719832861,69.22093725,395.5988723,0.045693835
