OPEN 6.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jul 20 2017 07:39:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/2x3 LED si-4301.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""08:29:38 Flow: Fixed -> 400 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:30:38 400""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""08:30:40 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,08:30:45,3097.000036,0,-44.46322941,0.080653179,1403.0463,0.846809968,1.039721751,25.98532104,6,1.420000017,1,2.840000033,25.51047134,25.98532104,25.14817047,449.9070435,516.0461426,22.27524567,23.51746178,67.37711334,71.13450623,399.396759,1735.685181,19.93756676,99.14364624,2.878127575,0.189227998,0.016380152,0.001908958,0.020649308,0.001322899,0,-0.219565243,2.737391472,1,0,0.159999996,111115,0.665661265,0.00084681,299.135321,298.6604713,277.7096227,2.666617332,3.371328662,34.00448531,10.48702354,25.74789619,3.324248607,0.07842596,2.331606911,0.992641696,0.049211577,139.103126,2.718838848,69.1234859,537.1818324,-0.057214396
2,08:30:49,3101.000036,0,-12.58832132,0.126432366,624.2269916,1.270868296,1.01049146,26.14632607,6,1.420000017,1,2.840000033,25.52086449,26.14632607,25.16158867,449.9523621,467.96698,22.27513695,24.13792992,67.33440399,72.96535492,399.4621582,1762.095581,19.82255554,99.14247131,2.878127575,0.189227998,0.016380152,0.001908958,0.020649308,0.001322899,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.665770264,0.001270868,299.2963261,298.6708645,281.9352867,2.482022705,3.403585484,34.33024656,10.19231664,25.83359528,3.341175602,0.12104369,2.393094024,0.948081577,0.076118668,61.88740661,1.333912473,70.72038538,473.950865,-0.018783612
3,08:30:53,3105.000036,0,5.129472271,0.158949599,380.4671842,1.553927792,0.993237696,26.26483727,6,1.420000017,1,2.840000033,25.52942848,26.26483727,25.176157,450.0450439,441.3104248,22.27625656,24.55298424,67.30410004,74.18286133,399.4612732,1795.879883,19.70201683,99.14326477,2.878127575,0.189227998,0.016380152,0.001908958,0.020649308,0.001322899,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.665768789,0.001553928,299.4148373,298.6794285,287.3407748,2.386891128,3.427500713,34.5711907,10.01820647,25.89713287,3.353773888,0.150524991,2.434263017,0.919510871,0.094800404,37.72075878,0.862130516,71.72145512,438.8721194,0.008382697
4,08:30:57,3109.000035,0,15.015989,0.184353037,283.0671838,1.759438076,0.97762574,26.33588219,6,1.420000017,1,2.840000033,25.53276634,26.33588219,25.17828369,450.0357056,426.3521118,22.27823639,24.85553932,67.29735565,75.08278656,399.4190063,1796.503784,19.55583763,99.14417267,2.878127575,0.189227998,0.016380152,0.001908958,0.020649308,0.001322899,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.665698344,0.001759438,299.4858822,298.6827663,287.440599,2.276071266,3.441907622,34.71618684,9.860647516,25.93432426,3.361167462,0.173115578,2.464281882,0.89688558,0.10915369,28.06446174,0.663928185,72.50892808,419.2142298,0.02597224
5,08:31:02,3113.500035,0,21.00549849,0.205793758,238.5686525,1.923106161,0.963852852,26.38454247,6,1.420000017,1,2.840000033,25.53367424,26.38454247,25.17396545,449.9793396,417.2213745,22.2781353,25.09437561,67.29319763,75.7999115,399.4361572,1800.05603,19.55321503,99.1438446,2.878127575,0.189227998,0.016380152,0.001908958,0.020649308,0.001322899,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.665726929,0.001923106,299.5345425,298.6836742,288.0089584,2.194206601,3.451805728,34.81613752,9.721761909,25.95910835,3.36610239,0.191888985,2.487952876,0.878149514,0.121106889,23.65261341,0.571803525,73.15950795,407.2363665,0.037736117
6,08:31:06,3117.500035,0,23.84867441,0.220773745,223.460914,2.032359135,0.954054321,26.41339493,6,1.420000017,1,2.840000033,25.53225899,26.41339493,25.17028809,449.8876953,412.8000488,22.27655029,25.25261497,67.29380798,76.28401947,399.3938904,1799.82251,19.3997364,99.14347839,2.878127575,0.189227998,0.016380152,0.001908958,0.020649308,0.001322899,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.665656484,0.002032359,299.5633949,298.682259,287.9715951,2.135059275,3.457686408,34.87558097,9.622965995,25.97282696,3.368836715,0.204849325,2.503632087,0.865204628,0.12937225,22.1546923,0.541329669,73.60439758,401.4635312,0.043724203
7,08:31:10,3121.500035,0,25.59809996,0.231560072,216.1660981,2.113116593,0.949011635,26.444767,6,1.420000017,1,2.840000033,25.53081703,26.444767,25.17141342,450.0375671,410.2811279,22.27398872,25.36783409,67.29246521,76.63935852,399.4080811,1800.079224,19.34635353,99.14440918,2.878127575,0.189227998,0.016380152,0.001908958,0.020649308,0.001322899,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.665680135,0.002113117,299.594767,298.680817,288.0126693,2.090720626,3.464090558,34.93984771,9.572013622,25.98779202,3.371821688,0.214103123,2.515078923,0.856742765,0.135280498,21.43166008,0.52687312,73.88206859,398.1130172,0.047505118
8,08:31:14,3125.500035,0,26.45120848,0.239289099,214.4193699,2.17051422,0.945615171,26.47052765,6,1.420000017,1,2.840000033,25.52759361,26.47052765,25.17028809,449.9652405,408.8939819,22.27725792,25.45504189,67.31567383,76.91805267,399.3846741,1800.039429,19.22311211,99.14506531,2.878127575,0.189227998,0.016380152,0.001908958,0.020649308,0.001322899,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.665641123,0.002170514,299.6205276,298.6775936,288.0063022,2.058054177,3.469356961,34.99273464,9.53769275,25.99906063,3.374070883,0.220694134,2.52374179,0.850329093,0.139492057,21.25862243,0.524388666,74.07839799,396.3203442,0.049441397
